Column1,productname,productsubname,productprice,productactualprice,Discount
305,Naruto: Kakashi Hatake,Men Rugby Polos,1049,1049,0.00%
306,The Boys: Never Meet Your Heroes,Oversized T-Shirts,699,999,30.03%
307,Solids: Dark Olive Green,Oversized Polos,1299,1299,0.00%
308,Naruto: Kakashi,Hooded T-Shirts,799,999,20.02%
309,Seinfeld: Faces,T-Shirts,549,699,21.46%
310,Solids: Pale Purple,Oversized Full Sleeve T-Shirts,799,1199,33.36%
311,Black Panther: Graphic Logo,T-Shirts,649,649,0.00%
312,Jersey T-Shirt: White,Jerseys,366,366,0.00%
313,Solids: Berry,Oversized Full Sleeve T-Shirts,999,999,0.00%
314,House Of The Dragon: Logo,T-Shirts,649,649,0.00%
315,Solids: Ash Grey,Oversized T-Shirts,799,799,0.00%
316,Avatar: Zuko,Oversized T-Shirts,899,899,0.00%
317,Batman: Kick Of Vengence,Oversized T-Shirts,749,999,25.03%
318,Solids: Serene Green,T-Shirts,499,699,28.61%
319,TSS Originals: Peace,Oversized T-Shirts,1049,1049,0.00%
320,Truck Art: Looney Tunes,Oversized T-Shirts,1049,1049,0.00%
321,TMNT: Ninjas,Oversized T-Shirts,749,999,25.03%
322,Star Wars: Dark Lord,Oversized T-Shirts,1049,1049,0.00%
323,Ed Sheeran: Bad Habits,Oversized T-Shirts,699,949,26.34%
324,TSS Originals: High As Hell,Oversized T-Shirts,699,699,0.00%
325,Solids: Berry (Utility),Oversized T-Shirts,899,899,0.00%
326,Looney Tunes: Magic Mushroom,Oversized T-Shirts,1299,1299,0.00%
327,TSS Originals: Break Free Turtle,Oversized T-Shirts,999,999,0.00%
328,Solids: White,Mandarin Polos,899,899,0.00%
329,Garfield: Cool Cat,Oversized T-Shirts,999,999,0.00%
330,TSS Originals: Radiant,Oversized Full Sleeve T-Shirts,999,999,0.00%
331,Scooby Doo: Mystery Club,Oversized T-Shirts,999,999,0.00%
332,Tarot: Batman,Oversized Full Sleeve T-Shirts,999,999,0.00%
333,Batman: Paisley,Oversized Full Sleeve T-Shirts,999,999,0.00%
334,Hulk: Time To Smash (Vintage Wash),Oversized T-Shirts,999,999,0.00%
335,Felix The Cat: Vibin',T-Shirts,599,599,0.00%
336,Justice League: Legendary (Utility),Oversized T-Shirts,849,849,0.00%
337,The Boys: Don't Be A C*nt,Oversized T-Shirts,999,999,0.00%
338,Joker: Certified Insane,Oversized T-Shirts,999,999,0.00%
339,FCB: Mes Que Un Club,T-Shirts,749,749,0.00%
340,Marvel: Logo,Oversized T-Shirts,1049,1049,0.00%
341,Justice League: Classic Logo,Men Relaxed Fit T-Shirts,499,499,0.00%
342,Aquaman: King of Atlantis,Hooded T-Shirts,949,1199,20.85%
343,Solids: Blue,Jerseys,249,499,50.10%
344,Naruto: Yellow Flash,Oversized T-Shirts,999,999,0.00%
345,Solids: Airy Blue,Oversized T-Shirts,699,999,30.03%
346,Breaking Bad: Science B*tch,Oversized T-Shirts,899,899,0.00%
347,Iron-Man: Graffiti,Oversized Full Sleeve T-Shirts,999,999,0.00%
348,Solids: Sunshine Yellow,Henley T-Shirts,599,599,0.00%
349,Tom And Jerry: Cheese The Day,T-Shirts,849,849,0.00%
350,Transformers: Optimus Prime,Oversized T-Shirts,599,999,40.04%
351,Captain America: Comic Time,T-Shirts,549,549,0.00%
352,Avatar: The Way,Oversized T-Shirts,899,899,0.00%
353,Lion King: Hakuna Matata,Oversized T-Shirts,1299,1299,0.00%
354,Cars: Lightning McQueen,Oversized T-Shirts,1049,1049,0.00%
355,Black Panther: The Mask,Mandarin Polos,1049,1049,0.00%
356,Rebel Moon: Galactic,Oversized T-Shirts,999,999,0.00%
357,House Of The Dragon: Logo,Men Relaxed Fit T-Shirts,649,649,0.00%
358,That's What She Said,T-Shirts,799,799,0.00%
359,Stripes: Timeless Noir,Oversized Polos,999,999,0.00%
360,Naruto: Uchiha Brothers,Oversized T-Shirts,1299,1299,0.00%
361,Rick And Morty: Adventure,T-Shirts,899,899,0.00%
362,The Mandalorian: This Is The Way,Oversized Full Sleeve T-Shirts,799,1199,33.36%
363,Solids: Burnt Sienna Brown,T-Shirts,799,799,0.00%
364,Deadpool: Newest Badass,T-Shirts,799,799,0.00%
365,TSS Originals: Pocket,Oversized T-Shirts,1499,1499,0.00%
366,Garfield: Lazy AF,T-Shirts,649,649,0.00%
367,Solids: Denim Blue Colourblock,Oversized Polos,749,999,25.03%
368,TSS Originals: Purple,Oversized T-Shirts,1549,1549,0.00%
369,Naruto: Uzumaki 10,Oversized Jerseys,799,999,20.02%
370,Breaking Bad: Walter & Jesse,Oversized T-Shirts,1049,1049,0.00%
371,Star Wars: The Mandalorian,Hooded T-Shirts,1049,1049,0.00%
372,ISRO: Chandrayaan 3,Oversized T-Shirts,599,999,40.04%
373,Pink Panther: Hard Life,Oversized T-Shirts,599,999,40.04%
374,Iron Man: Logo (Colourblock),Zipper Polos,1049,1049,0.00%
375,Dungeons & Dragons: Roll,T-Shirts,349,699,50.07%
376,Solids: Persian Pink,Mandarin Polos,799,999,20.02%
377,Popeye: Fight Time,T-Shirts,799,799,0.00%
378,Superman: Fighting Crime,Oversized Polos,799,799,0.00%
379,TSS Originals: ASAP,T-Shirts,649,649,0.00%
380,Garfield: Clingy,Oversized T-Shirts,999,999,0.00%
